bathrooms,bedrooms,price,sizeMin,furnishing,price_per_m2,region
2,1,408000,57,0,7157,Mohammed Bin Rashid City
1,0,348000,51,0,6823,Palm Jumeirah
4,3,504000,157,0,3210,Al Ghadeer
4,3,564000,172,0,3279,Town Square
4,3,1440000,387,0,3720,Yas Island
2,1,195600,79,0,2475,Al Reem Island
6,4,2160000,454,0,4757,Yas Island
3,2,720000,135,0,5333,Yas Island
1,0,96000,39,0,2461,Damac Hills 2
3,3,1008000,202,0,4990,Dubai Marina
2,2,456000,116,1,3931,Dubai Marina
4,3,948000,125,1,7584,Downtown Dubai
4,4,1931999,300,0,6439,Dubai Hills Estate
4,3,1920000,334,0,5748,DIFC
5,4,9600000,647,1,14837,Downtown Dubai
1,1,624000,107,1,5831,Palm Jumeirah
5,4,1800000,346,0,5202,Tilal Al Ghaf
1,0,240000,47,0,5106,Al Reem Island
4,3,1008000,203,0,4965,Meydan
2,1,988800,105,0,9417,Palm Jumeirah
4,3,624000,192,0,3250,The Valley
4,3,624000,191,0,3267,The Valley
1,0,103200,35,0,2948,Remraam
1,1,168000,85,1,1976,Discovery Gardens
1,1,293760,72,0,4080,Town Square
1,1,648000,88,1,7363,Downtown Dubai
1,1,378000,69,0,5478,Emirates Hills 2
5,3,2400000,248,0,9677,Palm Jumeirah
1,0,336000,40,1,8400,Palm Jumeirah
4,3,1140000,348,0,3275,DAMAC Hills
1,1,264000,85,0,3105,Dubai Marina
7,5,4200000,928,0,4525,Jumeirah Golf Estates
3,2,381600,122,0,3127,Arjan
1,0,158400,43,0,3683,Arjan
4,3,3480000,352,1,9886,Downtown Dubai
3,4,840000,242,0,3471,Mudon
3,3,1032000,184,1,5608,Jumeirah Beach Residence
4,2,888000,121,1,7338,Mohammed Bin Rashid City
4,4,696000,290,0,2400,Town Square
1,1,179976,70,0,2571,Dubai Residence Complex
1,1,308400,78,0,3953,Jumeirah Village Circle
3,2,864000,173,0,4994,Palm Jumeirah
3,3,1248000,133,1,9383,Dubai Creek Harbour (The Lagoons)
2,1,479760,69,1,6953,Downtown Dubai
5,3,9840000,582,1,16907,Palm Jumeirah
5,4,14880000,578,0,25743,Palm Jumeirah
1,1,180000,63,1,2857,Town Square
2,2,559200,111,0,5037,Mohammed Bin Rashid City
2,2,816000,101,0,8079,Downtown Dubai
1,0,520800,59,0,8827,Downtown Dubai
3,2,768000,291,0,2639,Jumeirah Village Circle
4,2,336000,137,0,2452,Jumeirah Village Circle
2,1,295200,68,0,4341,Jumeirah Village Circle
4,4,3600000,237,1,15189,Jumeirah Beach Residence
4,4,1020000,302,0,3377,Al Furjan
1,0,199200,32,0,6225,Dubai Healthcare City
3,3,648000,125,0,5184,Arabian Ranches 3
2,2,405600,128,1,3168,Dubai Marina
2,1,427200,66,1,6472,Dubai Marina
5,4,720000,226,0,3185,Rukan
2,1,360000,81,1,4444,Dubai Marina
3,2,690000,158,0,4367,DIFC
3,3,792000,211,0,3753,Dubai Land
3,2,768000,138,0,5565,Downtown Dubai
2,1,708000,87,0,8137,Dubai Media City
2,1,520800,74,0,7037,Business Bay
2,2,240000,83,0,2891,Town Square
4,3,876000,146,1,6000,Dubai Hills Estate
3,2,324000,105,0,3085,Al Furjan
4,4,3108000,486,1,6395,Palm Jumeirah
4,4,1020000,239,0,4267,Al Furjan
3,2,636000,144,0,4416,Dubai Marina
3,2,744000,121,0,6148,Dubai Hills Estate
3,3,2472000,206,0,12000,Palm Jumeirah
3,2,912000,166,1,5493,Palm Jumeirah
7,6,15120000,743,1,20349,Palm Jumeirah
2,2,684000,100,0,6840,Downtown Dubai
